,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,FRANJA_H,TIPO_DE_CALLE,COMUNA,POS_X,POS_Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_SEMANA
69,2016-0093,1,2016-07-17,2016,7,17,03:30:00,3,AVENIDA,6,-58.44362126,-34.62301748,AUTO,AUTO,CONDUCTOR,MASCULINO,35,2016-07-19 00:00:00,Domingo
70,2016-0095,1,2016-07-23,2016,7,23,06:12:00,6,AVENIDA,11,-58.51713095,-34.59546519,MOTO,AUTO,CONDUCTOR,MASCULINO,29,2016-07-23 00:00:00,Sábado
71,2016-0096,1,2016-07-25,2016,7,25,07:00:00,7,AUTOPISTA,8,-58.47433193007387,-34.66684950051973,MOTO,CARGAS,CONDUCTOR,MASCULINO,SD,SD,Lunes
72,2016-0097,1,2016-07-26,2016,7,26,18:45:00,18,CALLE,1,-58.39038605,-34.61562810,PEATON,AUTO,PEATON,MASCULINO,80,2016-08-12 00:00:00,Martes
73,2016-0098,1,2016-07-27,2016,7,27,16:08:00,16,AVENIDA,3,-58.40042405,-34.62356174,MOTO,CARGAS,CONDUCTOR,FEMENINO,43,SD,Miércoles
74,2016-0099,1,2016-07-29,2016,7,29,16:00:00,16,GRAL PAZ,11,-58.52340614,-34.59798754,CARGAS,CARGAS,CONDUCTOR,MASCULINO,45,SD,Viernes
75,2016-0100,1,2016-08-03,2016,8,3,23:27:00,23,GRAL PAZ,12,-58.49491054,-34.54795581,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,57,2016-08-03 00:00:00,Miércoles
76,2016-0101,1,2016-08-07,2016,8,7,19:42:00,19,GRAL PAZ,9,-58.52932872,-34.65014993,SD,SD,SD,MASCULINO,67,SD,Domingo
77,2016-0102,1,2016-08-10,2016,8,10,23:37:00,23,AVENIDA,9,-58.50011639,-34.67316502,MOTO,CARGAS,CONDUCTOR,MASCULINO,29,SD,Miércoles
78,2016-0104,1,2016-08-14,2016,8,14,21:15:00,21,AVENIDA,9,-58.46635001,-34.65624369,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,21,2016-08-15 00:00:00,Domingo
79,2016-0105,1,2016-08-17,2016,8,17,00:05:00,0,AVENIDA,15,-58.45343236,-34.58435809,PEATON,PASAJEROS,PEATON,MASCULINO,19,2016-08-26 00:00:00,Miércoles
80,2016-0106,1,2016-08-19,2016,8,19,21:02:00,21,AVENIDA,1,-58.38090932,-34.58927731,PEATON,PASAJEROS,PEATON,MASCULINO,38,SD,Viernes
81,2016-0107,1,2016-08-20,2016,8,20,08:22:00,8,AUTOPISTA,4,-58.37157668,-34.65429986,MOTO,AUTO,CONDUCTOR,MASCULINO,21,SD,Sábado
82,2016-0109,1,2016-08-24,2016,8,24,05:45:00,5,AUTOPISTA,9,-58.52280139,-34.63659934,AUTO,OBJETO FIJO,CONDUCTOR,FEMENINO,53,2016-08-24 00:00:00,Miércoles
83,2016-0110,1,2016-08-24,2016,8,24,20:21:00,20,AVENIDA,9,-58.51232237,-34.65903530,PEATON,SD,PEATON,MASCULINO,57,SD,Miércoles
84,2016-0111,1,2016-08-25,2016,8,25,09:30:00,9,AUTOPISTA,15,-58.47461905,-34.57663634,MOTO,CARGAS,CONDUCTOR,MASCULINO,27,2016-08-25 00:00:00,Jueves
85,2016-0112,1,2016-08-27,2016,8,27,04:40:00,4,AUTOPISTA,1,-58.38268809,-34.62282019,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,24,2016-08-27 00:00:00,Sábado
86,2016-0113,1,2016-08-27,2016,8,27,16:45:00,16,AVENIDA,9,-58.49603546,-34.64564271,PEATON,PASAJEROS,PEATON,FEMENINO,60,SD,Sábado
87,2016-0114,1,2016-08-31,2016,8,31,11:20:00,11,CALLE,14,-58.41848605,-34.59394733,BICICLETA,CARGAS,CICLISTA,FEMENINO,55,2016-08-31 00:00:00,Miércoles
88,2016-0115,1,2016-09-02,2016,9,2,11:50:00,11,CALLE,12,-58.48935041,-34.54917673,SD,CARGAS,SD,MASCULINO,SD,SD,Viernes
89,2016-0116,1,2016-09-02,2016,9,2,20:20:00,20,AVENIDA,8,-58.44451316,-34.68475866,MOTO,AUTO,CONDUCTOR,MASCULINO,30,2016-09-02 00:00:00,Viernes
90,2016-0117,1,2016-09-03,2016,9,3,15:30:00,15,AVENIDA,14,-58.39936478,-34.58271474,AUTO,AUTO,CONDUCTOR,MASCULINO,43,SD,Sábado
91,2016-0118,1,2016-09-04,2016,9,4,03:30:00,3,AUTOPISTA,1,-58.37936704,-34.62694503,AUTO,AUTO,CONDUCTOR,MASCULINO,27,2016-09-04 00:00:00,Domingo
92,2016-0119,1,2016-09-04,2016,9,4,06:40:00,6,AVENIDA,12,-58.49659234,-34.56353635,SD,SD,PASAJERO_ACOMPAÑANTE,FEMENINO,SD,SD,Domingo
93,2016-0122,1,2016-09-13,2016,9,13,07:10:00,7,AVENIDA,9,-58.47256391,-34.65194557,BICICLETA,PASAJEROS,CICLISTA,MASCULINO,49,2016-09-13 00:00:00,Martes
94,2016-0123,1,2016-09-14,2016,9,14,09:00:00,9,AVENIDA,7,-58.45130953,-34.64053676,MOTO,AUTO,CONDUCTOR,FEMENINO,58,SD,Miércoles
95,2016-0124,1,2016-09-16,2016,9,16,15:24:00,15,AVENIDA,7,-58.46271207,-34.62884871,PEATON,PASAJEROS,PEATON,MASCULINO,67,SD,Viernes
96,2016-0125,1,2016-09-17,2016,9,17,12:14:00,12,AUTOPISTA,10,-58.49020869,-34.64243791,MOTO,MOTO,CONDUCTOR,MASCULINO,30,SD,Sábado
97,2016-0126,2,2016-09-18,2016,9,18,22:45:00,22,CALLE,10,-58.52572109,-34.62125906,AUTO,CARGAS,CONDUCTOR,MASCULINO,37,SD,Domingo
98,2016-0126,2,2016-09-18,2016,9,18,22:45:00,22,CALLE,10,-58.52572109,-34.62125906,AUTO,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,60,SD,Domingo
99,2016-0127,1,2016-09-24,2016,9,24,10:25:00,10,AVENIDA,8,-58.44094791,-34.66677111,PEATON,PASAJEROS,PEATON,MASCULINO,50,SD,Sábado
100,2016-0128,1,2016-10-02,2016,10,2,11:30:00,11,AVENIDA,5,-58.41914024,-34.63053890,PEATON,PASAJEROS,PEATON,FEMENINO,81,2016-10-02 00:00:00,Domingo
101,2016-0130,1,2016-10-04,2016,10,4,12:30:00,12,AUTOPISTA,1,-58.37910942,-34.62764717,MOTO,CARGAS,CONDUCTOR,MASCULINO,29,2016-10-04 00:00:00,Martes
102,2016-0131,1,2016-10-09,2016,10,9,19:13:00,19,CALLE,4,-58.39871183,-34.64539318,PEATON,AUTO,PEATON,MASCULINO,35,SD,Domingo
103,2016-0132,1,2016-10-10,2016,10,10,02:30:00,2,AVENIDA,3,-58.41036975,-34.62477021,AUTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,30,2016-10-10 00:00:00,Lunes
104,2016-0133,1,2016-10-14,2016,10,14,00:05:00,0,AVENIDA,14,-58.40204698,-34.58342690,MOTO,AUTO,CONDUCTOR,MASCULINO,41,2016-10-25 00:00:00,Viernes
105,2016-0134,1,2016-10-23,2016,10,23,05:00:00,5,AVENIDA,8,-58.48935287,-34.67648597,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,25,2016-10-23 00:00:00,Domingo
